GameTime,ScenarioTime,FrameRate,FrameRate-XRDevice,Frame Number,a,steering,Websocket_message_timestamp,Websocket_message_category,Websocket_message_action,v_x,v_y,v_z,x,y,z,r_x,r_y,r_z
22.83028,0.0,0.013912,0.0,6085,0.0,0.0,1722352089,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
22.96243,0.132153,0.037561,0.0,6086,0.0,0.0,1722352089,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.00492,0.174641,0.02613,0.0,6089,0.0,0.0,1722352089,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.04659,0.216316,0.020158,0.0,6092,0.0,0.0,1722352089,,,-8.8086097e-07,-1.3113022e-06,4.5100705e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.08826,0.257984,0.017099,0.0,6095,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.12993,0.299652,0.015533,0.0,6098,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.1721,0.341825,0.014796,0.0,6101,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100705e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.21385,0.38357,0.014368,0.0,6104,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.25552,0.425238,0.014135,0.0,6107,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.29718,0.466904,0.014015,0.0,6110,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100705e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.33885,0.508568,0.013953,0.0,6113,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.38064,0.55036,0.013947,0.0,6116,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.42245,0.592167,0.013937,0.0,6119,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.46446,0.634184,0.013982,0.0,6122,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100705e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.50613,0.675848,0.013936,0.0,6125,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.54814,0.717859,0.013957,0.0,6128,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.58991,0.75963,0.013938,0.0,6131,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100705e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.63158,0.8013,0.013914,0.0,6134,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.67324,0.842966,0.013901,0.0,6137,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.71523,0.884953,0.013939,0.0,6140,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100705e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.7569,0.926626,0.013915,0.0,6143,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.79857,0.968294,0.013903,0.0,6146,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.84024,1.009958,0.013895,0.0,6149,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.88215,1.05187,0.013933,0.0,6152,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100705e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.92409,1.093815,0.013963,0.0,6155,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.510072e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
23.96603,1.135752,0.013962,0.0,6158,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100714e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
24.0077,1.177422,0.013927,0.0,6161,0.0,0.0,1722352090,,,-8.8086097e-07,-1.3113022e-06,4.5100705e-09,81.46065,0.4462486,58.542007,0.000557781,269.97766,1.3378642
